주당학습시간,출석률,학습자원접근,비교과활동,학습동기,인터넷접근,성별,나이,선호학습유형,온라인강좌수,토론참여,과제완료율,시험점수,스트레스수준,최종성적
19,92,1,1,1,1,0,26,2,3,0,86,94,1,A
19,92,1,0,2,1,0,19,3,12,1,63,40,1,D
19,92,1,0,2,1,0,26,2,3,0,86,94,1,A
29,84,0,1,0,1,1,21,2,10,1,57,48,1,D
29,84,0,1,0,1,1,28,2,14,0,74,60,2,C
29,84,1,1,1,1,1,21,2,10,1,57,48,1,D
29,84,1,1,1,1,1,28,2,14,0,74,60,2,C
25,78,2,1,1,1,1,18,2,17,0,91,58,1,C
25,78,0,1,1,1,1,18,2,17,0,91,58,1,C
17,94,2,0,2,1,1,19,3,3,1,74,92,1,A
17,94,1,0,0,1,1,19,3,3,1,74,92,1,A
17,94,1,0,1,1,1,19,3,3,1,74,92,1,A
17,94,1,1,1,1,1,19,3,3,1,74,92,1,A
17,94,0,0,2,1,1,19,3,3,1,74,92,1,A
17,94,0,1,0,1,1,19,3,3,1,74,92,1,A
17,94,2,1,1,1,1,19,3,3,1,74,92,1,A
23,98,1,1,1,1,1,27,2,5,0,65,58,1,C
23,98,1,1,1,1,1,27,1,4,1,100,93,1,A
23,98,1,1,1,1,1,27,2,5,0,65,58,1,C
23,98,1,1,1,1,1,27,1,4,1,100,93,1,A
23,98,0,0,1,1,1,27,2,5,0,65,58,1,C
23,98,0,0,1,1,1,27,1,4,1,100,93,1,A
23,98,2,0,1,1,1,27,2,5,0,65,58,1,C
23,98,2,0,1,1,1,27,1,4,1,100,93,1,A
23,98,2,1,0,1,1,27,2,5,0,65,58,1,C
23,98,2,1,0,1,1,27,1,4,1,100,93,1,A
17,80,2,0,1,0,1,18,1,13,1,68,73,1,B
17,80,2,0,1,0,1,24,3,11,1,64,69,2,C
17,80,2,0,1,0,1,23,0,7,1,68,87,0,A
17,80,2,0,1,0,1,27,0,12,0,64,88,2,A
17,80,2,0,1,0,1,29,1,0,1,73,78,2,B
17,80,1,0,1,1,1,18,1,13,1,68,73,1,B
17,80,1,0,1,1,1,24,3,11,1,64,69,2,C
17,80,1,0,1,1,1,23,0,7,1,68,87,0,A
17,80,1,0,1,1,1,27,0,12,0,64,88,2,A
17,80,1,0,1,1,1,29,1,0,1,73,78,2,B
17,80,2,0,1,1,1,18,1,13,1,68,73,1,B
17,80,2,0,1,1,1,24,3,11,1,64,69,2,C
17,80,2,0,1,1,1,23,0,7,1,68,87,0,A
17,80,2,0,1,1,1,27,0,12,0,64,88,2,A
17,80,2,0,1,1,1,29,1,0,1,73,78,2,B
17,97,2,1,0,1,1,27,1,9,0,64,87,0,A
17,97,2,1,0,1,1,25,2,20,1,70,82,0,B
17,97,1,0,1,1,1,27,1,9,0,64,87,0,A
17,97,1,0,1,1,1,25,2,20,1,70,82,0,B
17,97,2,0,2,1,1,27,1,9,0,64,87,0,A
17,97,2,0,2,1,1,25,2,20,1,70,82,0,B
17,97,2,1,1,0,1,27,1,9,0,64,87,0,A
17,97,2,1,1,0,1,25,2,20,1,70,82,0,B
17,97,2,0,1,1,1,27,1,9,0,64,87,0,A
17,97,2,0,1,1,1,25,2,20,1,70,82,0,B
17,97,2,1,0,1,1,27,1,9,0,64,87,0,A
17,97,2,1,0,1,1,25,2,20,1,70,82,0,B
17,97,0,1,1,1,1,27,1,9,0,64,87,0,A
17,97,0,1,1,1,1,25,2,20,1,70,82,0,B
17,97,1,1,1,1,1,27,1,9,0,64,87,0,A
17,97,1,1,1,1,1,25,2,20,1,70,82,0,B
17,97,0,0,2,0,1,27,1,9,0,64,87,0,A
17,97,0,0,2,0,1,25,2,20,1,70,82,0,B
17,97,1,1,0,1,1,27,1,9,0,64,87,0,A
17,97,1,1,0,1,1,25,2,20,1,70,82,0,B
21,83,1,1,0,1,1,27,2,1,0,66,86,0,A
21,83,1,1,0,1,1,27,0,7,1,77,96,0,A
21,83,1,1,0,1,1,27,2,1,0,66,86,0,A
21,83,1,1,0,1,1,27,0,7,1,77,96,0,A
21,83,1,1,2,1,1,27,2,1,0,66,86,0,A
21,83,1,1,2,1,1,27,0,7,1,77,96,0,A
21,83,0,0,0,1,1,27,2,1,0,66,86,0,A
21,83,0,0,0,1,1,27,0,7,1,77,96,0,A
21,83,0,1,0,1,1,27,2,1,0,66,86,0,A
21,83,0,1,0,1,1,27,0,7,1,77,96,0,A
21,83,2,1,2,1,1,27,2,1,0,66,86,0,A
21,83,2,1,2,1,1,27,0,7,1,77,96,0,A
21,83,2,0,1,1,1,27,2,1,0,66,86,0,A
21,83,2,0,1,1,1,27,0,7,1,77,96,0,A
9,82,1,1,1,1,1,18,3,17,0,55,40,1,D
9,82,1,1,1,1,1,25,3,13,0,73,46,1,D
10,78,2,1,1,1,1,27,2,5,0,71,68,1,C
10,78,2,1,1,1,1,20,3,17,0,85,78,1,B
17,68,1,0,1,1,0,19,3,0,1,75,42,0,D
17,68,1,0,1,1,0,24,2,4,1,87,64,1,C
17,68,1,0,1,1,0,20,3,19,1,88,49,0,D
17,68,1,1,1,1,0,19,3,0,1,75,42,0,D
17,68,1,1,1,1,0,24,2,4,1,87,64,1,C
17,68,1,1,1,1,0,20,3,19,1,88,49,0,D
17,68,1,0,2,1,0,19,3,0,1,75,42,0,D
17,68,1,0,2,1,0,24,2,4,1,87,64,1,C
17,68,1,0,2,1,0,20,3,19,1,88,49,0,D
17,68,2,1,1,1,0,19,3,0,1,75,42,0,D
17,68,2,1,1,1,0,24,2,4,1,87,64,1,C
17,68,2,1,1,1,0,20,3,19,1,88,49,0,D
17,68,0,1,2,1,0,19,3,0,1,75,42,0,D
17,68,0,1,2,1,0,24,2,4,1,87,64,1,C
17,68,0,1,2,1,0,20,3,19,1,88,49,0,D
22,70,1,1,1,1,0,22,3,1,1,74,40,1,D
22,70,1,0,0,1,0,22,3,1,1,74,40,1,D
22,70,2,1,2,1,0,22,3,1,1,74,40,1,D
22,70,1,1,0,1,0,22,3,1,1,74,40,1,D
22,70,2,1,1,1,0,22,3,1,1,74,40,1,D
15,80,1,1,0,1,0,23,2,2,0,50,56,0,C
15,80,1,1,0,1,0,21,2,7,1,87,89,2,A
15,80,1,1,0,1,0,23,1,13,1,56,75,1,B
15,80,2,0,1,1,0,23,2,2,0,50,56,0,C
15,80,2,0,1,1,0,21,2,7,1,87,89,2,A
15,80,2,0,1,1,0,23,1,13,1,56,75,1,B
15,80,0,0,2,1,0,23,2,2,0,50,56,0,C
15,80,0,0,2,1,0,21,2,7,1,87,89,2,A
15,80,0,0,2,1,0,23,1,13,1,56,75,1,B
15,80,1,0,1,1,0,23,2,2,0,50,56,0,C
15,80,1,0,1,1,0,21,2,7,1,87,89,2,A
15,80,1,0,1,1,0,23,1,13,1,56,75,1,B
15,80,1,1,1,1,0,23,2,2,0,50,56,0,C
15,80,1,1,1,1,0,21,2,7,1,87,89,2,A
15,80,1,1,1,1,0,23,1,13,1,56,75,1,B
15,80,1,0,1,1,0,23,2,2,0,50,56,0,C
15,80,1,0,1,1,0,21,2,7,1,87,89,2,A
15,80,1,0,1,1,0,23,1,13,1,56,75,1,B
12,75,2,1,1,1,1,21,0,16,1,66,71,1,B
12,75,2,1,1,1,1,22,2,20,1,55,48,0,D
12,75,2,1,1,1,1,21,0,16,1,66,71,1,B
12,75,2,1,1,1,1,22,2,20,1,55,48,0,D
29,78,1,0,2,1,0,28,0,2,1,67,91,1,A
29,78,2,1,1,1,0,28,0,2,1,67,91,1,A
19,99,2,0,1,1,1,25,3,13,1,91,56,2,C
19,99,1,0,1,1,1,25,3,13,1,91,56,2,C
19,99,2,0,0,1,1,25,3,13,1,91,56,2,C
19,99,2,1,0,1,1,25,3,13,1,91,56,2,C
19,99,0,0,1,1,1,25,3,13,1,91,56,2,C
19,99,1,1,0,1,1,25,3,13,1,91,56,2,C
19,99,1,1,1,1,1,25,3,13,1,91,56,2,C
19,99,1,0,1,1,1,25,3,13,1,91,56,2,C
19,99,0,0,2,1,1,25,3,13,1,91,56,2,C
19,99,2,1,1,1,1,25,3,13,1,91,56,2,C
19,99,2,0,0,1,1,25,3,13,1,91,56,2,C
19,99,1,0,1,1,1,25,3,13,1,91,56,2,C
20,74,2,0,0,1,0,22,3,3,1,93,97,1,A
20,74,2,0,0,1,0,24,1,20,1,68,67,0,C
20,74,2,0,0,1,0,29,0,13,0,80,65,2,C
20,74,1,1,0,1,0,22,3,3,1,93,97,1,A
20,74,1,1,0,1,0,24,1,20,1,68,67,0,C
20,74,1,1,0,1,0,29,0,13,0,80,65,2,C
20,74,2,1,1,0,0,22,3,3,1,93,97,1,A
20,74,2,1,1,0,0,24,1,20,1,68,67,0,C
20,74,2,1,1,0,0,29,0,13,0,80,65,2,C
20,74,1,1,2,1,0,22,3,3,1,93,97,1,A
20,74,1,1,2,1,0,24,1,20,1,68,67,0,C
20,74,1,1,2,1,0,29,0,13,0,80,65,2,C
20,74,0,1,2,1,0,22,3,3,1,93,97,1,A
20,74,0,1,2,1,0,24,1,20,1,68,67,0,C
20,74,0,1,2,1,0,29,0,13,0,80,65,2,C
11,78,1,1,2,1,1,25,2,4,1,59,77,0,B
11,78,1,1,2,1,1,27,0,15,0,69,77,1,B
11,78,1,1,2,1,1,18,0,13,0,62,90,1,A
11,78,1,1,2,1,1,19,2,3,1,80,98,1,A
11,78,1,1,2,1,1,21,3,8,1,96,83,0,B
11,78,2,1,1,1,1,25,2,4,1,59,77,0,B
11,78,2,1,1,1,1,27,0,15,0,69,77,1,B
11,78,2,1,1,1,1,18,0,13,0,62,90,1,A
11,78,2,1,1,1,1,19,2,3,1,80,98,1,A
11,78,2,1,1,1,1,21,3,8,1,96,83,0,B
17,65,2,1,1,1,0,28,2,12,0,88,72,2,B
17,65,2,1,1,1,0,21,1,16,0,79,58,1,C
17,65,2,1,1,1,0,28,2,12,0,88,72,2,B
17,65,2,1,1,1,0,21,1,16,0,79,58,1,C
17,65,0,1,1,1,0,28,2,12,0,88,72,2,B
17,65,0,1,1,1,0,21,1,16,0,79,58,1,C
17,65,1,0,1,1,0,28,2,12,0,88,72,2,B
17,65,1,0,1,1,0,21,1,16,0,79,58,1,C
17,65,1,0,1,1,0,28,2,12,0,88,72,2,B
17,65,1,0,1,1,0,21,1,16,0,79,58,1,C
21,62,0,1,2,1,1,26,2,9,1,65,46,1,D
21,62,0,0,2,1,1,26,2,9,1,65,46,1,D
21,62,1,0,1,1,1,26,2,9,1,65,46,1,D
13,91,1,0,1,1,0,19,0,7,1,64,63,0,C
13,91,1,0,1,1,0,25,3,12,0,73,77,1,B
13,91,1,0,1,1,0,21,0,13,1,98,100,1,A
13,91,1,0,1,1,0,29,1,3,1,66,90,1,A
13,91,1,0,1,1,0,28,1,11,1,85,46,1,D
13,91,1,0,1,1,0,19,2,18,0,89,61,1,C
13,91,1,1,1,1,0,19,0,7,1,64,63,0,C
13,91,1,1,1,1,0,25,3,12,0,73,77,1,B
13,91,1,1,1,1,0,21,0,13,1,98,100,1,A
13,91,1,1,1,1,0,29,1,3,1,66,90,1,A
13,91,1,1,1,1,0,28,1,11,1,85,46,1,D
13,91,1,1,1,1,0,19,2,18,0,89,61,1,C
22,83,2,1,1,1,1,28,2,11,0,96,75,1,B
22,83,1,1,2,1,1,28,2,11,0,96,75,1,B
22,83,1,1,2,0,1,28,2,11,0,96,75,1,B
22,83,1,1,2,1,1,28,2,11,0,96,75,1,B
22,83,0,1,1,1,1,28,2,11,0,96,75,1,B
16,90,1,0,1,1,0,19,1,0,1,90,52,1,D
16,90,1,0,2,0,0,19,1,0,1,90,52,1,D
16,90,2,1,1,1,0,19,1,0,1,90,52,1,D
16,90,1,0,1,1,0,19,1,0,1,90,52,1,D
16,90,2,1,2,1,0,19,1,0,1,90,52,1,D
18,66,2,0,0,1,1,22,1,3,0,50,73,0,B
18,66,2,0,0,1,1,27,2,11,0,57,60,2,C
18,66,1,0,1,1,1,22,1,3,0,50,73,0,B
18,66,1,0,1,1,1,27,2,11,0,57,60,2,C
18,66,2,0,1,1,1,22,1,3,0,50,73,0,B
18,66,2,0,1,1,1,27,2,11,0,57,60,2,C
18,66,2,1,1,1,1,22,1,3,0,50,73,0,B
18,66,2,1,1,1,1,27,2,11,0,57,60,2,C
18,66,1,1,0,0,1,22,1,3,0,50,73,0,B
18,66,1,1,0,0,1,27,2,11,0,57,60,2,C
18,66,2,1,1,0,1,22,1,3,0,50,73,0,B
18,66,2,1,1,0,1,27,2,11,0,57,60,2,C
18,66,1,1,2,1,1,22,1,3,0,50,73,0,B
18,66,1,1,2,1,1,27,2,11,0,57,60,2,C
18,66,1,1,1,1,1,22,1,3,0,50,73,0,B
18,66,1,1,1,1,1,27,2,11,0,57,60,2,C
16,83,1,0,1,1,0,27,1,12,1,52,66,0,C
16,83,1,0,1,1,0,26,1,0,0,96,56,2,C
16,83,2,1,0,1,0,27,1,12,1,52,66,0,C
16,83,2,1,0,1,0,26,1,0,0,96,56,2,C
16,83,1,1,1,1,0,27,1,12,1,52,66,0,C
16,83,1,1,1,1,0,26,1,0,0,96,56,2,C
16,83,1,1,1,1,0,27,1,12,1,52,66,0,C
16,83,1,1,1,1,0,26,1,0,0,96,56,2,C
16,83,1,1,2,1,0,27,1,12,1,52,66,0,C
16,83,1,1,2,1,0,26,1,0,0,96,56,2,C
16,83,1,1,1,1,0,27,1,12,1,52,66,0,C
16,83,1,1,1,1,0,26,1,0,0,96,56,2,C
16,83,1,1,0,1,0,27,1,12,1,52,66,0,C
16,83,1,1,0,1,0,26,1,0,0,96,56,2,C
16,83,1,0,0,1,0,27,1,12,1,52,66,0,C
16,83,1,0,0,1,0,26,1,0,0,96,56,2,C
31,70,2,1,1,1,1,28,2,1,0,52,71,1,B
20,69,1,1,1,1,1,21,3,3,1,87,79,2,B
20,69,1,1,1,1,1,18,3,9,0,82,97,1,A
20,69,2,1,1,1,1,21,3,3,1,87,79,2,B
20,69,2,1,1,1,1,18,3,9,0,82,97,1,A
20,69,2,0,0,1,1,21,3,3,1,87,79,2,B
20,69,2,0,0,1,1,18,3,9,0,82,97,1,A
20,69,1,1,2,1,1,21,3,3,1,87,79,2,B
20,69,1,1,2,1,1,18,3,9,0,82,97,1,A
14,60,1,0,1,1,0,18,0,6,0,88,52,1,D
14,60,0,1,0,1,0,18,0,6,0,88,52,1,D
25,65,1,0,1,1,0,25,3,0,1,62,51,0,D
25,65,1,0,1,1,0,28,3,12,1,100,55,2,C
25,65,2,1,2,1,0,25,3,0,1,62,51,0,D
25,65,2,1,2,1,0,28,3,12,1,100,55,2,C
25,65,0,1,1,1,0,25,3,0,1,62,51,0,D
25,65,0,1,1,1,0,28,3,12,1,100,55,2,C
25,65,1,1,1,1,0,25,3,0,1,62,51,0,D
25,65,1,1,1,1,0,28,3,12,1,100,55,2,C
25,65,0,1,1,1,0,25,3,0,1,62,51,0,D
25,65,0,1,1,1,0,28,3,12,1,100,55,2,C
25,65,2,1,0,0,0,25,3,0,1,62,51,0,D
25,65,2,1,0,0,0,28,3,12,1,100,55,2,C
21,65,0,1,0,1,0,20,3,1,1,54,54,2,D
21,65,0,1,0,1,0,24,1,2,1,96,78,1,B
21,65,2,1,0,0,0,20,3,1,1,54,54,2,D
21,65,2,1,0,0,0,24,1,2,1,96,78,1,B
8,99,1,0,0,1,0,28,2,9,1,99,97,0,A
8,99,1,0,0,1,0,23,1,4,1,89,54,0,D
8,99,1,0,0,1,0,20,3,6,1,59,91,2,A
8,99,2,1,1,1,0,28,2,9,1,99,97,0,A
8,99,2,1,1,1,0,23,1,4,1,89,54,0,D
8,99,2,1,1,1,0,20,3,6,1,59,91,2,A
12,72,1,1,1,1,0,28,1,15,1,58,100,0,A
12,72,1,1,1,1,0,26,2,20,1,51,42,1,D
12,72,1,1,1,1,0,29,1,5,0,61,73,0,B
12,72,0,1,2,1,0,28,1,15,1,58,100,0,A
12,72,0,1,2,1,0,26,2,20,1,51,42,1,D
12,72,0,1,2,1,0,29,1,5,0,61,73,0,B
12,72,1,0,2,1,0,28,1,15,1,58,100,0,A
12,72,1,0,2,1,0,26,2,20,1,51,42,1,D
12,72,1,0,2,1,0,29,1,5,0,61,73,0,B
12,72,0,1,2,1,0,28,1,15,1,58,100,0,A
12,72,0,1,2,1,0,26,2,20,1,51,42,1,D
12,72,0,1,2,1,0,29,1,5,0,61,73,0,B
12,72,1,0,0,1,0,28,1,15,1,58,100,0,A
12,72,1,0,0,1,0,26,2,20,1,51,42,1,D
12,72,1,0,0,1,0,29,1,5,0,61,73,0,B
21,65,1,1,0,1,1,21,0,0,0,93,95,0,A
21,65,0,1,2,0,1,21,0,0,0,93,95,0,A
21,65,1,0,2,1,1,21,0,0,0,93,95,0,A
21,65,2,0,0,1,1,21,0,0,0,93,95,0,A
21,65,1,1,1,1,1,21,0,0,0,93,95,0,A
21,65,1,0,1,1,1,21,0,0,0,93,95,0,A
21,65,2,1,2,1,1,21,0,0,0,93,95,0,A
21,65,2,0,1,1,1,21,0,0,0,93,95,0,A
24,68,1,0,0,1,1,29,2,13,1,78,61,0,C
24,68,1,0,1,1,1,29,2,13,1,78,61,0,C
24,68,1,1,2,1,1,29,2,13,1,78,61,0,C
24,68,1,1,0,1,1,29,2,13,1,78,61,0,C
24,68,2,1,0,1,1,29,2,13,1,78,61,0,C
24,68,1,1,1,1,1,29,2,13,1,78,61,0,C
24,68,1,1,1,0,1,29,2,13,1,78,61,0,C
24,68,0,1,0,1,1,29,2,13,1,78,61,0,C
21,84,1,1,0,1,0,23,0,11,0,79,56,1,C
21,84,0,0,0,1,0,23,0,11,0,79,56,1,C
21,84,1,0,1,1,0,23,0,11,0,79,56,1,C
21,84,2,1,0,1,0,23,0,11,0,79,56,1,C
21,84,0,1,0,1,0,23,0,11,0,79,56,1,C
18,94,2,1,1,1,1,21,0,0,1,83,93,1,A
18,94,2,1,1,1,1,29,1,17,1,55,51,1,D
18,94,1,1,2,1,1,21,0,0,1,83,93,1,A
18,94,1,1,2,1,1,29,1,17,1,55,51,1,D
18,94,2,1,0,1,1,21,0,0,1,83,93,1,A
18,94,2,1,0,1,1,29,1,17,1,55,51,1,D
18,94,1,1,1,1,1,21,0,0,1,83,93,1,A
18,94,1,1,1,1,1,29,1,17,1,55,51,1,D
18,94,1,0,0,1,1,21,0,0,1,83,93,1,A
18,94,1,0,0,1,1,29,1,17,1,55,51,1,D
18,94,1,1,0,0,1,21,0,0,1,83,93,1,A
18,94,1,1,0,0,1,29,1,17,1,55,51,1,D
18,94,1,1,1,1,1,21,0,0,1,83,93,1,A
18,94,1,1,1,1,1,29,1,17,1,55,51,1,D
11,98,1,1,0,1,1,25,0,11,0,77,81,2,B
11,98,1,1,0,1,1,25,2,7,1,94,52,1,D
11,98,1,1,0,1,1,26,0,12,0,58,87,1,A
11,98,2,1,2,1,1,25,0,11,0,77,81,2,B
11,98,2,1,2,1,1,25,2,7,1,94,52,1,D
11,98,2,1,2,1,1,26,0,12,0,58,87,1,A
16,70,1,1,1,1,1,28,2,7,1,94,84,2,B
16,70,1,1,1,1,1,22,0,20,0,89,83,1,B
16,70,1,1,1,1,1,19,2,20,1,53,86,1,A
16,70,2,1,2,1,1,28,2,7,1,94,84,2,B
16,70,2,1,2,1,1,22,0,20,0,89,83,1,B
16,70,2,1,2,1,1,19,2,20,1,53,86,1,A
16,70,2,1,2,1,1,28,2,7,1,94,84,2,B
16,70,2,1,2,1,1,22,0,20,0,89,83,1,B
16,70,2,1,2,1,1,19,2,20,1,53,86,1,A
17,78,1,1,1,1,0,24,1,14,1,84,59,2,C
17,78,1,1,1,1,0,26,3,9,0,90,85,1,A
17,78,1,1,1,1,0,29,1,20,1,58,85,1,A
17,78,2,0,1,1,0,24,1,14,1,84,59,2,C
17,78,2,0,1,1,0,26,3,9,0,90,85,1,A
17,78,2,0,1,1,0,29,1,20,1,58,85,1,A
17,78,2,0,1,1,0,24,1,14,1,84,59,2,C
17,78,2,0,1,1,0,26,3,9,0,90,85,1,A
17,78,2,0,1,1,0,29,1,20,1,58,85,1,A
17,78,1,0,1,0,0,24,1,14,1,84,59,2,C
17,78,1,0,1,0,0,26,3,9,0,90,85,1,A
17,78,1,0,1,0,0,29,1,20,1,58,85,1,A
17,78,1,1,0,1,0,24,1,14,1,84,59,2,C
17,78,1,1,0,1,0,26,3,9,0,90,85,1,A
17,78,1,1,0,1,0,29,1,20,1,58,85,1,A
26,61,0,1,1,1,0,28,2,20,0,69,99,1,A
26,61,1,1,2,1,0,28,2,20,0,69,99,1,A
26,61,2,1,1,0,0,28,2,20,0,69,99,1,A
22,86,1,1,0,1,1,23,0,9,0,60,47,1,D
22,86,1,1,0,1,1,24,3,6,1,73,55,1,C
22,86,1,1,0,1,1,19,1,8,0,100,87,2,A
22,86,1,1,0,1,1,24,3,7,1,86,96,1,A
22,86,0,0,1,1,1,23,0,9,0,60,47,1,D
22,86,0,0,1,1,1,24,3,6,1,73,55,1,C
22,86,0,0,1,1,1,19,1,8,0,100,87,2,A
22,86,0,0,1,1,1,24,3,7,1,86,96,1,A
22,86,1,1,2,1,1,23,0,9,0,60,47,1,D
22,86,1,1,2,1,1,24,3,6,1,73,55,1,C
22,86,1,1,2,1,1,19,1,8,0,100,87,2,A
22,86,1,1,2,1,1,24,3,7,1,86,96,1,A
22,86,1,1,1,1,1,23,0,9,0,60,47,1,D
22,86,1,1,1,1,1,24,3,6,1,73,55,1,C
22,86,1,1,1,1,1,19,1,8,0,100,87,2,A
22,86,1,1,1,1,1,24,3,7,1,86,96,1,A
22,86,1,0,0,1,1,23,0,9,0,60,47,1,D
22,86,1,0,0,1,1,24,3,6,1,73,55,1,C
22,86,1,0,0,1,1,19,1,8,0,100,87,2,A
22,86,1,0,0,1,1,24,3,7,1,86,96,1,A
22,86,1,1,1,1,1,23,0,9,0,60,47,1,D
22,86,1,1,1,1,1,24,3,6,1,73,55,1,C
22,86,1,1,1,1,1,19,1,8,0,100,87,2,A
22,86,1,1,1,1,1,24,3,7,1,86,96,1,A
22,86,1,0,2,1,1,23,0,9,0,60,47,1,D
22,86,1,0,2,1,1,24,3,6,1,73,55,1,C
22,86,1,0,2,1,1,19,1,8,0,100,87,2,A
22,86,1,0,2,1,1,24,3,7,1,86,96,1,A
22,86,1,1,1,1,1,23,0,9,0,60,47,1,D
22,86,1,1,1,1,1,24,3,6,1,73,55,1,C
22,86,1,1,1,1,1,19,1,8,0,100,87,2,A
22,86,1,1,1,1,1,24,3,7,1,86,96,1,A
9,77,1,0,1,1,1,24,3,4,1,63,76,2,B
9,77,1,0,1,1,1,18,2,3,1,61,65,2,C
9,77,1,0,1,1,1,28,1,16,0,51,66,1,C
9,77,1,0,0,1,1,24,3,4,1,63,76,2,B
9,77,1,0,0,1,1,18,2,3,1,61,65,2,C
9,77,1,0,0,1,1,28,1,16,0,51,66,1,C
9,77,2,1,1,1,1,24,3,4,1,63,76,2,B
9,77,2,1,1,1,1,18,2,3,1,61,65,2,C
9,77,2,1,1,1,1,28,1,16,0,51,66,1,C
9,77,0,0,1,1,1,24,3,4,1,63,76,2,B
9,77,0,0,1,1,1,18,2,3,1,61,65,2,C
9,77,0,0,1,1,1,28,1,16,0,51,66,1,C
22,71,1,1,0,1,1,20,0,18,0,71,52,1,D
22,71,1,0,2,1,1,20,0,18,0,71,52,1,D
22,71,1,0,0,1,1,20,0,18,0,71,52,1,D
22,71,1,1,1,1,1,20,0,18,0,71,52,1,D
22,71,2,1,1,1,1,20,0,18,0,71,52,1,D
22,71,0,1,1,1,1,20,0,18,0,71,52,1,D
22,71,1,1,0,1,1,20,0,18,0,71,52,1,D
18,68,1,0,1,1,1,26,0,20,0,93,92,1,A
18,68,1,0,1,1,1,18,3,20,0,55,98,2,A
18,68,2,0,0,1,1,26,0,20,0,93,92,1,A
18,68,2,0,0,1,1,18,3,20,0,55,98,2,A
18,68,2,1,0,1,1,26,0,20,0,93,92,1,A
18,68,2,1,0,1,1,18,3,20,0,55,98,2,A
18,68,2,1,2,1,1,26,0,20,0,93,92,1,A
18,68,2,1,2,1,1,18,3,20,0,55,98,2,A
18,68,1,1,2,1,1,26,0,20,0,93,92,1,A
18,68,1,1,2,1,1,18,3,20,0,55,98,2,A
18,68,2,1,2,1,1,26,0,20,0,93,92,1,A
18,68,2,1,2,1,1,18,3,20,0,55,98,2,A
18,68,0,1,1,1,1,26,0,20,0,93,92,1,A
18,68,0,1,1,1,1,18,3,20,0,55,98,2,A
18,68,2,0,1,1,1,26,0,20,0,93,92,1,A
18,68,2,0,1,1,1,18,3,20,0,55,98,2,A
18,68,2,1,2,1,1,26,0,20,0,93,92,1,A
18,68,2,1,2,1,1,18,3,20,0,55,98,2,A
